"episodeId","episodeTitle","episodeCategories","episodeUrl","episodeImageUrls"
89488,"The Squeak Life","Slice of Life,Comedy,Romance","https://tapastic.com/episode/89488","https://d30womf5coomej.cloudfront.net/c/79/09/da/20/99408c33f6df4fe0a63090d05829839b.jpg"
89460,"Care Guide","Slice of Life,Comedy","https://tapastic.com/episode/89460","https://d30womf5coomej.cloudfront.net/c/5e/b6/67/5b/7846f92f873a44a89dfa3e844ac43210.jpg"
89440,"Moves","Slice of Life,Comedy","https://tapastic.com/episode/89440","https://d30womf5coomej.cloudfront.net/c/d7/99/99/0a/e7a9420cf85046fd8e51b71f32c1445d.jpg"
89434,"Marble","Comedy,Fantasy","https://tapastic.com/episode/89434","https://d30womf5coomej.cloudfront.net/c/d7/36/3b/e7/5cc8005f349e4af696099d1790f38e4e.jpg;https://d30womf5coomej.cloudfront.net/c/12/ba/e6/30/3bea49ca22f34d1b90bbc01391a73ea1.jpg;https://d30womf5coomej.cloudfront.net/c/24/80/0f/0c/3d6d184dcd3c42a79a50d1e2bda8241b.jpg;https://d30womf5coomej.cloudfront.net/c/3c/c9/f6/aa/2f189e5156fb4780bea43e406b4237b1.jpg;https://d30womf5coomej.cloudfront.net/c/d3/f6/a2/28/0cd41bb3f37744d4b7c5c59333b5f177.jpg;https://d30womf5coomej.cloudfront.net/c/9e/43/79/20/0e6dfedd97c6451290ebaadf7fe4a963.jpg"
89361,"the animes","Slice of Life,Comedy,Drama","https://tapastic.com/episode/89361","https://d30womf5coomej.cloudfront.net/c/78/c8/3a/72/e59793d5ab3243e6ad09984b3455251c.jpg"
89315,"Viral","Slice of Life,Comedy","https://tapastic.com/episode/89315","https://d30womf5coomej.cloudfront.net/c/06/9d/16/91/1ee40a0e0a164294b67370ddfa7f62ed.jpg"
89314,"Meetings","Slice of Life,Comedy","https://tapastic.com/episode/89314","https://d30womf5coomej.cloudfront.net/c/5d/20/c8/5c/0a8494f3195b4678a2cfa2c0960b73d7.jpg"
89270,"Bark","Comedy,Romance,Drama","https://tapastic.com/episode/89270","https://d30womf5coomej.cloudfront.net/c/cd/62/c5/30/530228584f9b417ab19522952c7d9ec4.jpg;https://d30womf5coomej.cloudfront.net/c/1d/e7/55/7e/0411bb574d074547a235e13ec6304ad2.jpg;https://d30womf5coomej.cloudfront.net/c/ef/c3/e2/9c/4c36395ed5f54262834c30cc679a4c6d.jpg;https://d30womf5coomej.cloudfront.net/c/c7/7b/67/1e/71e06c1e43ad43fcb8ca3d375ea07cc2.jpg;https://d30womf5coomej.cloudfront.net/c/a8/27/02/10/d6384e397c244cd9b63955d00a6de091.jpg"
89176,"Rose","Comedy","https://tapastic.com/episode/89176","https://d30womf5coomej.cloudfront.net/c/54/d1/fe/12/dd766326fc5a4cb9a0e28a07a765a7c1.jpg"
89172,"Charlie Hebdo","Slice of Life,Comedy","https://tapastic.com/episode/89172","https://d30womf5coomej.cloudfront.net/c/1e/52/08/3f/f72dc2cd03a14e85bfa6dfb9f85e88c9.jpg"
89146,"Je suis Charlie","Slice of Life,Comedy","https://tapastic.com/episode/89146","https://d30womf5coomej.cloudfront.net/c/92/ef/00/bd/e529119f80a84393b072aeee8d1e0e48.jpg"
89143,"Epic Quest","Slice of Life,Comedy,Drama","https://tapastic.com/episode/89143","https://d30womf5coomej.cloudfront.net/c/5f/be/6c/1f/030df1b68a4c41f993369af32c09a4ce.jpg;https://d30womf5coomej.cloudfront.net/c/67/26/45/2e/8c5bbad5c6524c219b3b006446000900.jpg"
89119,"Intermission: Endomorph","Fantasy,Drama","https://tapastic.com/episode/89119","https://d30womf5coomej.cloudfront.net/c/01/dd/eb/84/35faffacccdc4ccc8ff0ffe3be3c96db.jpg"
89105,"Fandom deprivation (feat. Margaret Dyan)","Slice of Life,Comedy,Drama","https://tapastic.com/episode/89105","https://d30womf5coomej.cloudfront.net/c/79/b3/65/10/e0fede2f49974898abe6846fd35c2e06.jpg"
89081,"PHOTOGENIC","Slice of Life,Comedy,Gaming","https://tapastic.com/episode/89081","https://d30womf5coomej.cloudfront.net/c/93/2c/a2/eb/b55471d194134f43a1a6a2616a122ffa.jpg;https://d30womf5coomej.cloudfront.net/c/09/c5/6a/f1/75316b9d82a947dab45884f695979a56.gif"
89026,"Hump Day Special: Huru Time! ","Slice of Life,Comedy","https://tapastic.com/episode/89026","https://d30womf5coomej.cloudfront.net/c/4f/77/53/e6/e6b5933bb69b473b818976ddd750f2ee.jpg"
89024,"Buncha phonies.","Slice of Life,Comedy","https://tapastic.com/episode/89024","https://d30womf5coomej.cloudfront.net/c/e0/5c/33/a0/ae3f370959d94166834ab96dc8863405.jpg;https://d30womf5coomej.cloudfront.net/c/4e/37/69/91/0466cb96be3c46a2950396290118cafe.jpg;https://d30womf5coomej.cloudfront.net/c/80/19/9e/87/214c34676e64411389e9d71868ef4e34.jpg;https://d30womf5coomej.cloudfront.net/c/72/bb/80/ec/fa7bdb7e0cee4b0e9a5adbeea471e044.jpg;https://d30womf5coomej.cloudfront.net/c/15/b5/01/d7/874e95c38b7443c6af8a551c88d312c3.jpg;https://d30womf5coomej.cloudfront.net/c/b3/4a/d6/a7/f361a9d853c74ae598b9e5bed26f0427.jpg"
88994,"Sleep...","Slice of Life","https://tapastic.com/episode/88994","https://d30womf5coomej.cloudfront.net/c/c0/ff/12/0f/b2ac1846535243a6a17bad8d307e31ad.jpg"
88980,"Reiko in different anime (part 1)","Slice of Life,Comedy","https://tapastic.com/episode/88980","https://d30womf5coomej.cloudfront.net/c/bd/34/34/d2/5034f75c0e5246dbb2dc6353f55ca5b7.jpg;https://d30womf5coomej.cloudfront.net/c/21/bf/99/3a/fae00065f29a4d8cab8027e0accb2269.jpg;https://d30womf5coomej.cloudfront.net/c/df/f5/ec/26/1163ee7891e94426a40b9028c7a90245.jpg"
88941,"GUEST COMIC: lumenizampel","Slice of Life,Comedy","https://tapastic.com/episode/88941","https://d30womf5coomej.cloudfront.net/c/da/94/47/55/deda9395c2cc4940aacab9ac02648810.jpg"
88910,"umbrella","Slice of Life,Comedy","https://tapastic.com/episode/88910","https://d30womf5coomej.cloudfront.net/c/bc/b5/ae/79/9d2bac657ac74de0973952978683798e.jpg"
88880,"happy 2015","Slice of Life,Comedy","https://tapastic.com/episode/88880","https://d30womf5coomej.cloudfront.net/c/53/fe/cf/bf/2b9a474708954db9b6c3ba13768cf00a.jpg"
88874,"Rainy DaneMen","Slice of Life,Comedy,Drama","https://tapastic.com/episode/88874","https://d30womf5coomej.cloudfront.net/c/03/63/41/62/f5b5607b659b40a99edff2becc51c8f8.jpg;https://d30womf5coomej.cloudfront.net/c/6a/4e/af/e9/53e7a970cf4e4a10a18789e203c1b1d0.jpg"
88871,"Matching Scribbles","Comedy,Drama","https://tapastic.com/episode/88871","https://d30womf5coomej.cloudfront.net/c/69/9a/72/de/46166aa0d7d441de818607fe41f06bb9.jpg;https://d30womf5coomej.cloudfront.net/c/a7/7c/33/51/327094cd5cad4676a6f4e52580809fc1.jpg;https://d30womf5coomej.cloudfront.net/c/dd/37/1a/82/cf9e073977c744bc84561da78037737e.jpg;https://d30womf5coomej.cloudfront.net/c/5f/2f/1e/24/f7d36529c3344315916450e76da81097.jpg;https://d30womf5coomej.cloudfront.net/c/3a/85/e2/40/6fc9239ebda4442a90a1eb2d304f6af9.jpg;https://d30womf5coomej.cloudfront.net/c/09/c9/ab/9c/e1de1f7e89214d39a30b2cedfe02b231.jpg;https://d30womf5coomej.cloudfront.net/c/e3/31/cf/e3/f7227f8648644a8d9bd98b50b9c4b22a.jpg;https://d30womf5coomej.cloudfront.net/c/52/da/28/ae/709ac9444769400286d6005d6f4a9576.jpg"
88848,"05","Slice of Life,Comedy","https://tapastic.com/episode/88848","https://d30womf5coomej.cloudfront.net/c/fd/a6/fd/97/f26ebeec13e441fc8de04cbd37b548f9.jpg"
88786,"Imitation Game ","Slice of Life,Comedy","https://tapastic.com/episode/88786","https://d30womf5coomej.cloudfront.net/c/0d/44/b6/b9/9725df5598e547158af56bd858b74459.jpg"
88769,"Noob","Slice of Life,Comedy,Gaming","https://tapastic.com/episode/88769","https://d30womf5coomej.cloudfront.net/c/10/46/76/19/a1c5c27e9ef54c729d054d1357fd2c70.jpg"
88661,"AWWWYYYEAAAHHHHHH!!!","Slice of Life,Drama","https://tapastic.com/episode/88661","https://d30womf5coomej.cloudfront.net/c/13/4b/5d/b6/e4cfe926e7814f18958de84b7c5441e9.jpg"
88626,"01: Dive (part 1)","Action,Sci-fi,Drama","https://tapastic.com/episode/88626","https://d30womf5coomej.cloudfront.net/c/1d/e4/5b/37/dfd5674ee4f64ad8a0e2ffa14b5d68f3.jpg;https://d30womf5coomej.cloudfront.net/c/fa/bc/4c/b8/057f0dda95144102aa17b66126973e6d.jpg;https://d30womf5coomej.cloudfront.net/c/43/cc/0d/c3/6d0ea57a71db4a6596ee652545def47f.jpg;https://d30womf5coomej.cloudfront.net/c/f1/b1/45/17/9ba3904d9be94093a21f3ac7f907d718.jpg;https://d30womf5coomej.cloudfront.net/c/2f/3e/b0/85/c0b00e91df8c41efa40aa415432511ba.jpg;https://d30womf5coomej.cloudfront.net/c/fe/0c/b9/57/cc878c4b54d94833b231bfe7de5e8265.jpg"
88609,"Eternal Sunshine","Slice of Life,Comedy,Drama","https://tapastic.com/episode/88609","https://d30womf5coomej.cloudfront.net/c/b1/2b/45/92/f8c95b4a69c949608b2e9d5e521595ce.jpg;https://d30womf5coomej.cloudfront.net/c/4b/48/8b/58/aa9524c4f6e346a58533f5bdd0155818.jpg;https://d30womf5coomej.cloudfront.net/c/a0/b9/5a/91/74fb702eab254613b596e5cfbddd777e.jpg"
88577,"MEEP","Slice of Life,Comedy","https://tapastic.com/episode/88577","https://d30womf5coomej.cloudfront.net/c/88/7370067e-bed4-4347-b0eb-92070857da0e.jpg"
88553,"Art college friends pt.1","Slice of Life,Comedy,Drama","https://tapastic.com/episode/88553","https://d30womf5coomej.cloudfront.net/c/76/57/79/8e/cea52180ef944f8286aee4b17828c3f0.jpg"
88551,"Could Be Worse","Slice of Life,Comedy","https://tapastic.com/episode/88551","https://d30womf5coomej.cloudfront.net/c/85/b7/c2/98/fde6995e8104448ba7c7d092de4eca55.jpg"
88465,"all according to plan","Slice of Life,Comedy","https://tapastic.com/episode/88465","https://d30womf5coomej.cloudfront.net/c/25/30/20/ac/5711645f4ce545ffacf27413635384e5.jpg"
88457,"Shower Time","Slice of Life,Comedy","https://tapastic.com/episode/88457","https://d30womf5coomej.cloudfront.net/c/01/fd/0b/99/edd20b704481400d84b482c594fc8ecd.gif;https://d30womf5coomej.cloudfront.net/c/f0/bc/97/dd/ff941a3cd299493b866b900895b1ba88.jpg;https://d30womf5coomej.cloudfront.net/c/9d/7b/d0/78/d4e94b2037f346488ec99ae3722c5cbe.jpg;https://d30womf5coomej.cloudfront.net/c/e0/80/4a/e5/7e3384b7de7b43658aaa065ed46a3033.gif;https://d30womf5coomej.cloudfront.net/c/27/72/00/07/cb955481caec4d8989808c44f7364caa.jpg;https://d30womf5coomej.cloudfront.net/c/0c/cb/42/75/09d97c7e25064ab0856fb30ebe68c957.jpg;https://d30womf5coomej.cloudfront.net/c/9d/5d/cc/6a/0bcccda1dea5439aaa9ff40163f8541e.jpg;https://d30womf5coomej.cloudfront.net/c/78/84/96/e2/ccf7d24ec2bc416bbd323ce868ca6abb.gif;https://d30womf5coomej.cloudfront.net/c/3d/f7/0e/e8/f0a095f6a99c48a0bd2a193be97cb519.jpg;https://d30womf5coomej.cloudfront.net/c/46/e7/14/c7/177c5637c46a46bca00cf8a1bb042db8.jpg;https://d30womf5coomej.cloudfront.net/c/df/32/86/b8/860cc49d7f444975929df82ae605c3a6.gif"
88444,"Chapter 2 - Taste (Part 2)","Slice of Life,Sci-fi","https://tapastic.com/episode/88444","https://d30womf5coomej.cloudfront.net/c/e7/15/13/9c/00d84bd5ccc74484987591a2d292372e.jpg;https://d30womf5coomej.cloudfront.net/c/27/6b/91/42/abe191dff6384c3d9ba1187e9b4fd3b5.jpg;https://d30womf5coomej.cloudfront.net/c/2c/a3/1a/ff/313b9002102e499a9bdd80bbd5967d9d.jpg;https://d30womf5coomej.cloudfront.net/c/eb/b6/ac/b4/86f6e7a082b542d98c86f6f3d067669b.jpg;https://d30womf5coomej.cloudfront.net/c/05/f0/4a/d9/476b5b28e92547308d991c56a3c2f068.jpg;https://d30womf5coomej.cloudfront.net/c/5e/9e/47/00/fd27663c51fc47cc8916f5ea4f5a3a4f.jpg"
88396,"Chapter 2 - (25)","Action,Fantasy,Horror","https://tapastic.com/episode/88396","https://d30womf5coomej.cloudfront.net/c/82/c6/20/07/847be8eeb06f4a50b80074754ff3ea0f.jpg;https://d30womf5coomej.cloudfront.net/c/11/35/2e/28/70d4ff87f70d41fa9d7078e5a25a8b5e.jpg"
88351,"Book 2_ep 10 - Hide & Seek (10)","Fantasy,Romance","https://tapastic.com/episode/88351","https://d30womf5coomej.cloudfront.net/c/36/cf/a3/f3/30aabeecafd9425e9a9e5fe00893fa58.jpg;https://d30womf5coomej.cloudfront.net/c/47/1a/9f/8d/e187580497a24eefa2ca0ae5e99ccf03.jpg;https://d30womf5coomej.cloudfront.net/c/d9/9a/18/ed/43078f6078f14350baa6ccf79d33d405.jpg"
88338,"Healthy Eating","Slice of Life,Comedy","https://tapastic.com/episode/88338","https://d30womf5coomej.cloudfront.net/c/93/1d/2a/37/b5f40ebb413640e28351627c7faf57fe.jpg"
88256,"Spy","Comedy,Sci-fi,Gaming","https://tapastic.com/episode/88256","https://d30womf5coomej.cloudfront.net/c/74/c9/f5/39/dd47bf898d9e4fc7928f06b9be6de19f.jpg"
88228,"salutations, pt. 1","Slice of Life,Comedy","https://tapastic.com/episode/88228","https://d30womf5coomej.cloudfront.net/c/be/5b/f3/64/eef1f121a34d4850998b3678796eb6b7.jpg"
88214,"Gifts","Comedy","https://tapastic.com/episode/88214","https://d30womf5coomej.cloudfront.net/c/09/6f/57/49/6580251fab11483bbb7f283ca66c2177.jpg"
88195,"You think this is a joke?","Slice of Life,Comedy","https://tapastic.com/episode/88195","https://d30womf5coomej.cloudfront.net/c/cc/44/5d/11/113b8904f7fd41f8b979ecaa471c9cae.jpg;https://d30womf5coomej.cloudfront.net/c/56/5d/06/1f/11f92e476af741168e03c812416c2d4a.jpg;https://d30womf5coomej.cloudfront.net/c/67/79/60/a8/8df0990f13aa4be4a0a2bfefe0effc8f.jpg;https://d30womf5coomej.cloudfront.net/c/63/91/71/58/58e9aa2de82d402ca045f746d2b4ad57.jpg;https://d30womf5coomej.cloudfront.net/c/ff/dc/1d/78/1e1c5a4120134e8b86b9d869dfec5a85.jpg;https://d30womf5coomej.cloudfront.net/c/82/dc/13/b0/341e6e30999d4d6d925ee0521f4e8db7.jpg"
88159,"enslaved","Slice of Life,Comedy","https://tapastic.com/episode/88159","https://d30womf5coomej.cloudfront.net/c/8a/1c/5a/2a/7be26cac629b401cb5c18d9e944d4d84.jpg"
